targeted_phenomenon,gold_label,id,sentence1,sentence2
comparatives,contradiction,59,"This agreement , which gave the Serbs a great deal more than Vance-Owen would have , was puffed as a Nobel-worthy diplomatic accomplishment .",That agreement gave the Serbs a lot less than Vance-Owen would have .
comparatives,entailment,60,"Less sophisticated than Ambleside and less commercial than Bowness , it has a simple charm that many visitors find more appealing .",It is not more sophisticated and commercial than the nearby towns of Bowness and Ambleside .
comparatives,contradiction,61,"Less sophisticated than Ambleside and less commercial than Bowness , it has a simple charm that many visitors find more appealing .",It is more sophisticated and commercial than the nearby towns of Bowness and Ambleside .
comparatives,contradiction,62,"A relatively new project in orchid breeding , it has some 50,000 plants and more than 4,000 varieties of delicate orchids .","The new project has less than 25,000 plants ."
comparatives,entailment,63,"A relatively new project in orchid breeding , it has some 50,000 plants and more than 4,000 varieties of delicate orchids .","The new project has not less than 25,000 plants ."
comparatives,neutral,64,"A 38-cm -LRB- 15-in -RRB- narrow-gauge railway , it carries a tiny engine and even smaller carriages through rolling countryside towards the coast at Ravenglass .",The carriages are not larger than the train engine itself .
comparatives,contradiction,65,"A 38-cm -LRB- 15-in -RRB- narrow-gauge railway , it carries a tiny engine and even smaller carriages through rolling countryside towards the coast at Ravenglass .",The carriages are larger than the train engine itself .
comparatives,entailment,66,"An ACI system requires much less in terms of steel , labor , or other resources to install than either FGD or SCR technology .",FGD and SCR technology both take more resources to install than an ACI system .
comparatives,contradiction,67,"An ACI system requires much less in terms of steel , labor , or other resources to install than either FGD or SCR technology .",FGD and SCR technology both do not take more resources to install than an ACI system .
comparatives,entailment,68,"Larger transaction networks -LRB- be they mail , packages , overnight or telephone -RRB- are more valuable to customers and providers than smaller networks .",A bigger network has better benefits for those that use it .
comparatives,contradiction,69,"Larger transaction networks -LRB- be they mail , packages , overnight or telephone -RRB- are more valuable to customers and providers than smaller networks .",A bigger network has not better benefits for those that use it .
comparatives,contradiction,70,"Between the two buildings , East Princes Gardens are smaller than the West Gardens .",The West Gardens is not larger than East Princes Gardens .
comparatives,entailment,71,"Between the two buildings , East Princes Gardens are smaller than the West Gardens .",The West Gardens is larger than East Princes Gardens .
comparatives,entailment,72,A little way north is another smaller town where the pace is less frantic .,A little way north is not another town that is larger and more fast paced .
comparatives,contradiction,73,A little way north is another smaller town where the pace is less frantic .,A little way north is another town that is larger and more fast paced .
comparatives,contradiction,74,"The Pyramid of Kephren is smaller than the Great Pyramid , though its location on slightly higher ground makes it seem taller .",The Great is not larger than the Pyramid of Kephren .
comparatives,entailment,75,"The Pyramid of Kephren is smaller than the Great Pyramid , though its location on slightly higher ground makes it seem taller .",The Great is larger than the Pyramid of Kephren .
comparatives,contradiction,76,"Emissions were reduced faster than required , and at far less cost .",Emissions did not decline more quickly and less expensively than anticipated .
comparatives,entailment,77,"Emissions were reduced faster than required , and at far less cost .",Emissions declined more quickly and less expensively than anticipated .
comparatives,neutral,78,That 's because they suddenly have more money than the eligibility threshold for aid .,They have not much less money than they need .
comparatives,contradiction,79,That 's because they suddenly have more money than the eligibility threshold for aid .,They have much less money than they need .
comparatives,neutral,80,"It 's more respectable than I thought it would be , said Tuppence thoughtfully .",It was not less decent than Tuppence thought it would be .
prepositions,neutral,1,"Erected over an older Byzantine-style castle, the present 14th- to 15th-century Flamboyant Gothic building fronts the Piazzetta and the basin, the first building to behold upon arrival in Venice.",There is a Flamboyant Gothic building built for an old castle.
prepositions,entailment,2,"Erected over an older Byzantine-style castle, the present 14th- to 15th-century Flamboyant Gothic building fronts the Piazzetta and the basin, the first building to behold upon arrival in Venice.",There is a Flamboyant Gothic building built on top of an old castle.
prepositions,neutral,3,you can't hold it there until it's dried,You can't hold it through there until it's dry because it's gonna get moldy
prepositions,entailment,4,you can't hold it there until it's dried,You can't hold it in there until it's dry because it's gonna get moldy
prepositions,entailment,5,"From this perspective, Clinton has yet to get with the program.",Clinton is behind the times 
prepositions,contradiction,6,"From this perspective, Clinton has yet to get with the program.",Clinton is on top of the times 
prepositions,entailment,7,The Commission notes that there are 100-150 manufacturers of various component devices but does not indicate what the ratio of large to small business might be in this mix.,"In its notes, the Commission refused to disclose the ratio of large to small businesses within the group of 100-150 manufacturers of various component devices."
prepositions,contradiction,8,The Commission notes that there are 100-150 manufacturers of various component devices but does not indicate what the ratio of large to small business might be in this mix.,"In its notes, the Commission refused to disclose the ratio of large to small businesses for the group of 100-150 manufacturers of various component devices."
prepositions,neutral,9,is it that low you think uh,Is it inside of average by a little or significantly less than normal?
prepositions,entailment,10,is it that low you think uh,Is it below average by a little or significantly less than normal?
prepositions,neutral,11,"The Piazza Grande, the highest point in town, is the site of the graceful town well decorated with griffins and lions.",Some people wonder what it would be like to balance next to the Piazza Grande.
prepositions,contradiction,12,"The Piazza Grande, the highest point in town, is the site of the graceful town well decorated with griffins and lions.",Some people wonder what it would be like to balance on top of the Piazza Grande.
prepositions,contradiction,13,"Very well ”but it's all extremely mysterious. We were running into Tadminster now, and Poirot directed the car to the ""Analytical Chemist."" Poirot hopped down briskly, and went inside. ",Poirot sped right past the Analytical Chemist.
prepositions,entailment,14,"Very well ”but it's all extremely mysterious. We were running into Tadminster now, and Poirot directed the car to the ""Analytical Chemist."" Poirot hopped down briskly, and went inside. ",Poirot sped right for the Analytical Chemist.
prepositions,neutral,15,"Few prices are fixed in Egypt and thus a protracted discussion will begin, the purpose of which is to agree to a price that satisfies both buyer and seller in other words,  haggling.  ",The customer is always happy after a session of haggling.
prepositions,entailment,16,"Few prices are fixed in Egypt and thus a protracted discussion will begin, the purpose of which is to agree to a price that satisfies both buyer and seller in other words,  haggling.  ",The customer is always happy for a session of haggling.
prepositions,entailment,17,"As his son, Ken, wheels him up the concrete ramp and through the doors, Lindsey's grin says it all.",Lindsey smiles as his sone wheels him up the ramp and into his old high school. 
prepositions,neutral,18,"As his son, Ken, wheels him up the concrete ramp and through the doors, Lindsey's grin says it all.",Lindsey smiles as his sone wheels him up the ramp and out of his old high school. 
prepositions,entailment,19,um yeah well there was a interesting cartoon in the editorial the other day it was a there was a picture of a shop keeper with this really mean look on his face and empty shelves in back of him and a little rat and a couple of spider webs and,There was a cartoon within the editorial in the past.
prepositions,neutral,20,um yeah well there was a interesting cartoon in the editorial the other day it was a there was a picture of a shop keeper with this really mean look on his face and empty shelves in back of him and a little rat and a couple of spider webs and,There was a cartoon above the editorial in the past.
prepositions,entailment,21,A poll finds that 84 percent of Americans don't think cocaine use should disqualify Bush from office.,Most people seem to not care about drug use among the officials of the country.
prepositions,neutral,22,A poll finds that 84 percent of Americans don't think cocaine use should disqualify Bush from office.,Most people seem to not care about drug use behind the officials of the country.
prepositions,entailment,23,yeah yeah i was the same way too i'm not a people person i i i hate um having to play such a nice guy you know especially when it's all phony especially when you got some uh jerk coming in,Pretending to be nice for jerks is my favorite thing to do.
prepositions,contradiction,24,yeah yeah i was the same way too i'm not a people person i i i hate um having to play such a nice guy you know especially when it's all phony especially when you got some uh jerk coming in,Pretending to be nice in front of jerks is my favorite thing to do.
prepositions,contradiction,25,"This rule amends VA's regulations regarding the award of compensation for disability resulting from hospitalization, treatment, examination, or vocational rehabilitation to reflect the Supreme Court's interpretation of 38 U.S.C.",Disability resulting from treatment wasn't among the subjects impacted by the new rule.
prepositions,neutral,26,"This rule amends VA's regulations regarding the award of compensation for disability resulting from hospitalization, treatment, examination, or vocational rehabilitation to reflect the Supreme Court's interpretation of 38 U.S.C.",Disability resulting from treatment wasn't outside of the subjects impacted by the new rule.
prepositions,neutral,27,"In the history of tobacco litigation, only one plaintiff had ever been awarded any damages, and those were compensatory rather than punitive.","In the history of lawsuits about the tobacco industry, only one complainant won, and also with just a tiny amount."
prepositions,entailment,28,"In the history of tobacco litigation, only one plaintiff had ever been awarded any damages, and those were compensatory rather than punitive.","In the history of lawsuits against the tobacco industry, only one complainant won, and also with just a tiny amount."
prepositions,entailment,29,i didn't study it that hard so maybe i'll figure it out,I studied a little here and there over the weekend so I'm hoping it gets figured out.
prepositions,contradiction,30,i didn't study it that hard so maybe i'll figure it out,I studied a little here and there near the weekend so I'm hoping it gets figured out.
prepositions,contradiction,31,Why not? The girl hesitated.,She replied without a hint of hesitation.
prepositions,entailment,32,Why not? The girl hesitated.,She replied across a hint of hesitation.
prepositions,contradiction,33,"You can find hundreds of caves in the limestone fissures, and some intrepid visitors go  spelunking,  exploring their watery interiors.",The caves here are among a dormant volcano and visitors are not allowed near them.
prepositions,neutral,34,"You can find hundreds of caves in the limestone fissures, and some intrepid visitors go  spelunking,  exploring their watery interiors.",The caves here are inside of a dormant volcano and visitors are not allowed near them.
prepositions,contradiction,35,"Continue past the remains of a hypostyle hall which was the Customs House to the start of the Royal Road leading north to the coast, still in exceptional condition and far better than most thoroughfares on Crete until only a few years ago.",The Customs House used to be behind the hypostyle hall.
prepositions,entailment,36,"Continue past the remains of a hypostyle hall which was the Customs House to the start of the Royal Road leading north to the coast, still in exceptional condition and far better than most thoroughfares on Crete until only a few years ago.",The Customs House used to be at the hypostyle hall.
prepositions,contradiction,37,Zuiganji temple is the center of an old Zen Buddhist seminary.,Zuiganji temple is outside of a Zen Buddhist seminary.
prepositions,entailment,38,Zuiganji temple is the center of an old Zen Buddhist seminary.,Zuiganji temple is before a Zen Buddhist seminary.
prepositions,entailment,39,"At a major financial services corporation, managers are expected to know what their security problems are and to have plans in place to resolve them.",Managers of major financial services corporations must stay at least one step in front of hackers and thieves.
prepositions,neutral,40,"At a major financial services corporation, managers are expected to know what their security problems are and to have plans in place to resolve them.",Managers of major financial services corporations must stay at least one step ahead of hackers and thieves.
prepositions,neutral,41,"During construction of the church, workers found artifacts, tombs, and ruins from Jerusalem's history, some dating from late Bronze Age times (about 1600 b.c. ).",The church was built outside a historical site.
prepositions,entailment,42,"During construction of the church, workers found artifacts, tombs, and ruins from Jerusalem's history, some dating from late Bronze Age times (about 1600 b.c. ).",The church was built on top of a historical site.
prepositions,contradiction,43,"The fountain is called the Executioner's Fountain, because here he rinsed his sword and washed his hands after carrying out his orders; examples of his handiwork were displayed on pikes at the Imperial Gate.",The Executioner's Fountain got its name simply because it's along the room where the executioner lived.
prepositions,neutral,44,"The fountain is called the Executioner's Fountain, because here he rinsed his sword and washed his hands after carrying out his orders; examples of his handiwork were displayed on pikes at the Imperial Gate.",The Executioner's Fountain got its name simply because it's next to the room where the executioner lived.
prepositions,contradiction,45,we um we have these classes we attend uh management classes then and they give you books and and the last book uh matter of fact i read was At America's Service by Carl Albridge it talks about um who the customer is and being customer oriented uh which falls in line with the TI culture here at Texas Instruments,I read At America's Service by Carl Albridge about a management class I took.
prepositions,entailment,46,we um we have these classes we attend uh management classes then and they give you books and and the last book uh matter of fact i read was At America's Service by Carl Albridge it talks about um who the customer is and being customer oriented uh which falls in line with the TI culture here at Texas Instruments,I read At America's Service by Carl Albridge for a management class I took.
prepositions,contradiction,47,"In the case of H-2A workers, the reading would require the conclusion that Congress intended to provide H-2A workers with legal services representation on claims arising from their employment contracts only for the very brief periods that the workers are in the United States -- potentially rendering the promise of legal representation largely meaningless.",This reading would require the conclusion that Congress had intended for H-2A workers to only get legal representation when they were outside of the country.
prepositions,entailment,48,"In the case of H-2A workers, the reading would require the conclusion that Congress intended to provide H-2A workers with legal services representation on claims arising from their employment contracts only for the very brief periods that the workers are in the United States -- potentially rendering the promise of legal representation largely meaningless.",This reading would require the conclusion that Congress had intended for H-2A workers to only get legal representation when they were on top of the country.
prepositions,neutral,49,"Excluded from the definition of land for reporting purposes here are materials beneath the surface (that is, depletable resources such as mineral deposits and petroleum), the space above the surface (that is, renewable resources such as timber), and the outer-continental shelf resources.",Holdings above or below the surface are not included.
prepositions,entailment,50,"Excluded from the definition of land for reporting purposes here are materials beneath the surface (that is, depletable resources such as mineral deposits and petroleum), the space above the surface (that is, renewable resources such as timber), and the outer-continental shelf resources.",Holdings above or past the surface are not included.
prepositions,neutral,51,"For a wonderful walk that fills a whole day, try linking Grasmere village, Dove Cottage, and Rydal Mount.",Walking around Grasmere Village to Dove Cottage to Rydal Mount will take more than one hour.
prepositions,entailment,52,"For a wonderful walk that fills a whole day, try linking Grasmere village, Dove Cottage, and Rydal Mount.",Walking from Grasmere Village to Dove Cottage to Rydal Mount will take more than one hour.
prepositions,entailment,53,"In the United States, about 67 percent of annual SO2 emissions and 25 percent of NOx emissions are produced by electric utility plants that burn fossil fuels.",50 percent of annual SO2 emissions in Canada come from burning fossil fuels.
prepositions,neutral,54,"In the United States, about 67 percent of annual SO2 emissions and 25 percent of NOx emissions are produced by electric utility plants that burn fossil fuels.",50 percent of annual SO2 emissions in Canada come around burning fossil fuels.
prepositions,entailment,55,"At the Porte Sainte-Croix, there is a magnificent view over the Cure river valley and the path that leads to the place where, in 1146, Saint Bernard urged King Louis VII to lead the French on the Second Crusade.",Saint Bernard urged King Louis VII to crusade under the Porte Sainte-Croix.
prepositions,neutral,56,"At the Porte Sainte-Croix, there is a magnificent view over the Cure river valley and the path that leads to the place where, in 1146, Saint Bernard urged King Louis VII to lead the French on the Second Crusade.",Saint Bernard urged King Louis VII to crusade by the Porte Sainte-Croix.
prepositions,entailment,57,"This is only one of several entrances to the Haram es-Sharif, the noble enclosure atop the Temple Mount.",The Haram es-Sharif has several entrances and is on top of the Temple Mount.
prepositions,contradiction,58,"This is only one of several entrances to the Haram es-Sharif, the noble enclosure atop the Temple Mount.",The Haram es-Sharif has several entrances and is past the Temple Mount.
prepositions,entailment,59,"The reasons are technical, arising from the way the software processed radar information, as well as from poor primary radar coverage where American 77 was flying.",There are technical reasons inside of the confusion surrounding American 77's location
prepositions,neutral,60,"The reasons are technical, arising from the way the software processed radar information, as well as from poor primary radar coverage where American 77 was flying.",There are technical reasons behind the confusion surrounding American 77's location
prepositions,neutral,61,"A full-service, quite plush resort on Lanai's finest beach (Hulopoe), the Manele Bay Hotel offers water sports, golf, tennis, a spa, and jeep tours.",The Manele Bay Hotel features more services than any resort above a 100 mile radius.
prepositions,entailment,62,"A full-service, quite plush resort on Lanai's finest beach (Hulopoe), the Manele Bay Hotel offers water sports, golf, tennis, a spa, and jeep tours.",The Manele Bay Hotel features more services than any resort within a 100 mile radius.
prepositions,contradiction,63,The tomb of Mohammed Ali sits under the colonnade.,The colonnade stands by a famous tomb.
prepositions,entailment,64,The tomb of Mohammed Ali sits under the colonnade.,The colonnade stands above a famous tomb.
prepositions,contradiction,65,and everybody that we have that backs up to it mows about uh oh maybe ten or fifteen or twenty yards into the vacant lot to keep weeds from growing and coming over and seeding in your yard,Everyone among us mows the lot.
prepositions,neutral,66,and everybody that we have that backs up to it mows about uh oh maybe ten or fifteen or twenty yards into the vacant lot to keep weeds from growing and coming over and seeding in your yard,Everyone behind us mows the lot.
prepositions,contradiction,67,The choice ranges from traditional hand-carved Chinese roseood furniture to well-made reproductions of modern Western styles.,There are selections from beneath the world to choose from. 
prepositions,entailment,68,The choice ranges from traditional hand-carved Chinese roseood furniture to well-made reproductions of modern Western styles.,There are selections from all over the world to choose from. 
prepositions,contradiction,69,"To help promote effective implementation of federal financial management reform, we studied the financial management practices and improvement efforts of nine leading public and private sector finance organizations to identify the success factors, practices, and outcomes associated with worldclass financial management.",We really should have studied financial management practices in front of implementing the federal financial management reform.
prepositions,neutral,70,"To help promote effective implementation of federal financial management reform, we studied the financial management practices and improvement efforts of nine leading public and private sector finance organizations to identify the success factors, practices, and outcomes associated with worldclass financial management.",We really should have studied financial management practices before implementing the federal financial management reform.
prepositions,entailment,71,"The Alamgir Mosque rises behind the sacred Panchganga Ghat, said to be the mythical confluence of four Ganga subterranean tributaries.",Research has confirmed that four subterranean rivers do feed into the river here.
prepositions,neutral,72,"The Alamgir Mosque rises behind the sacred Panchganga Ghat, said to be the mythical confluence of four Ganga subterranean tributaries.",Research has confirmed that four subterranean rivers do feed above the river here.
prepositions,contradiction,73,"It was her order to the Indian Army in 1984 to attack armed militants in the Sikhs' sacred Golden Temple in Amritsar, resulting in 800 dead, that led to her assassination in Delhi five months later by two Sikh members of her security guards.","After she ordered the Indian Army to attack armed militants in the Sikhs' sacred Golden Temple, she replaced her entire security team so as to live into old age without fear of assassination."
prepositions,neutral,74,"It was her order to the Indian Army in 1984 to attack armed militants in the Sikhs' sacred Golden Temple in Amritsar, resulting in 800 dead, that led to her assassination in Delhi five months later by two Sikh members of her security guards.","After she ordered the Indian Army to attack armed militants in the Sikhs' sacred Golden Temple, she replaced her entire security team so as to live into old age near fear of assassination."
prepositions,neutral,75,"Hilliker is now a complex litigation partner in McDermott, Will &amp; Emery and chairman of the firm's Pro Bono Committee.","McDermott, Will & Emery have accepted Hilliker into their practice with confidence that he will be a good fit."
prepositions,entailment,76,"Hilliker is now a complex litigation partner in McDermott, Will &amp; Emery and chairman of the firm's Pro Bono Committee.","McDermott, Will & Emery have accepted Hilliker ahead of their practice with confidence that he will be a good fit."
prepositions,entailment,77,"To my surprise, the hat didn't seem to be following me... ...The hat was in front of me.",The hat was teleported from behind me to be ahead of me.
prepositions,contradiction,78,"To my surprise, the hat didn't seem to be following me... ...The hat was in front of me.",The hat was teleported from in front of me to be ahead of me.
prepositions,entailment,79,"However, if they cannot use those interventions in their clinical setting, the interventions are of no use.",The interventions are no use unless conducted next to a clinical setting.
prepositions,contradiction,80,"However, if they cannot use those interventions in their clinical setting, the interventions are of no use.",The interventions are no use unless conducted outside of a clinical setting.
quantification,entailment,1,"Now home to more than 700,000 people -LRB- one-third of the population of Jamaica -RRB- , it is a huge city with many facets .","The city is home to more than 700,000 Jamaican residents ."
quantification,contradiction,2,"Now home to more than 700,000 people -LRB- one-third of the population of Jamaica -RRB- , it is a huge city with many facets .","The city is not home to more than 700,000 Jamaican residents ."
quantification,entailment,3,The company has already secured more than $ 8 million in venture-capital financing .,They did not secure less than $ 8 million in financing .
quantification,contradiction,4,The company has already secured more than $ 8 million in venture-capital financing .,They secured less than $ 8 million in financing .
quantification,entailment,5,The museum was closed in mid-1997 for more renovation and to move part of the collection to the new Museum at the Getty Ceter in Brentwood .,The museum was renovated in the mid nighties while some artifacts were moved elsewhere /
quantification,contradiction,6,The museum was closed in mid-1997 for more renovation and to move part of the collection to the new Museum at the Getty Ceter in Brentwood .,The museum was not renovated in the mid nighties while some artifacts were moved elsewhere /
quantification,entailment,7,"Pooh has now sold more than 20 million books , most of them in the United States .",Pooh has sold more than 20 million books .
quantification,contradiction,8,"Pooh has now sold more than 20 million books , most of them in the United States .",Pooh has not sold more than 20 million books .
quantification,contradiction,9,there 's some,There is none at all .
quantification,entailment,10,there 's some,There is not none at all .
quantification,contradiction,11,5 million - almost three times more than states appropriated in 1997 .,It is less than in 1997
quantification,entailment,12,5 million - almost three times more than states appropriated in 1997 .,It is not less than in 1997
quantification,contradiction,13,"Conference participants reflected a true cross section of the country , with clients and advocates attending from more than twenty-eight -LRB- 28 -RRB- states .",The conference participants came from all 50 states .
quantification,neutral,14,"Conference participants reflected a true cross section of the country , with clients and advocates attending from more than twenty-eight -LRB- 28 -RRB- states .",The conference participants did not come from all 50 states .
quantification,contradiction,15,"In the 1830s and 1840s , the system accounted for more than three-quarters of U.S. federal employees .",In the middle of the 1800 's most federal employees were not accounted for by the system .
quantification,entailment,16,"In the 1830s and 1840s , the system accounted for more than three-quarters of U.S. federal employees .",In the middle of the 1800 's most federal employees were accounted for by the system .
quantification,entailment,17,the kids love all kinds of pets you know cats and dogs and things and i know some kinds of pets are more,The children like all types of pets .
quantification,contradiction,18,the kids love all kinds of pets you know cats and dogs and things and i know some kinds of pets are more,The children do not like all types of pets .
quantification,contradiction,19,projections are of less value than those for the 2005 and 2010 time period .,The 2005 and 2010 projections are not more valuable .
quantification,entailment,20,projections are of less value than those for the 2005 and 2010 time period .,The 2005 and 2010 projections are more valuable .
quantification,contradiction,21,"They indicated that in the second half of 2001 more than 183,000 people were served .","They did not suggest that more than 183,000 people were served during the last two quarters of 2001 ."
quantification,entailment,22,"They indicated that in the second half of 2001 more than 183,000 people were served .","They suggested that more than 183,000 people were served during the last two quarters of 2001 ."
quantification,contradiction,23,"Conversely , Microsoft points out that IE has less than 40 percent of the browser market , compared with Netscape 's 60 percent .","According to Microsoft , IE has not less than 40 percent of the browser market ."
